Age,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Target_Churn,Gender_Male,Gender_Other,Promotion_Response_Responded,Promotion_Response_Unsubscribed
62,45.15,5892.58,5,22,453.8,2,0,3,129,1,1,0,1,1,0
65,79.51,9025.47,13,77,22.9,2,2,3,227,0,0,1,0,1,0
18,29.19,618.83,13,71,50.53,5,2,2,283,0,1,1,0,1,0
21,79.63,9110.3,3,33,411.83,5,3,5,226,1,1,0,1,0,0
21,77.66,5390.88,15,43,101.19,3,0,5,242,0,0,0,1,0,1
57,190.43,255.19,19,85,417.78,5,1,4,130,0,0,1,0,0,1
27,172.13,3512.55,3,77,316.18,0,3,1,61,1,0,1,0,0,1
37,88.9,7270.9,4,87,63.61,3,4,3,224,0,0,0,1,0,0
39,24.46,4935.49,1,21,173.8,9,2,4,126,1,1,0,1,1,0
68,169.59,9803.57,17,34,481.18,6,1,2,171,1,0,0,1,0,1
54,138.9,4283.84,15,33,96.55,9,1,2,92,1,0,1,0,1,0
41,47.43,3333.69,4,10,212.58,0,0,2,213,0,1,0,0,1,0
24,199.29,8234.55,1,60,160.58,2,1,5,276,0,0,0,1,0,0
42,38.04,5524.28,12,4,259.81,5,4,2,212,0,1,0,0,0,0
42,176.08,6855.03,17,64,222.85,6,0,1,125,0,1,0,0,0,0
30,72.97,8076.45,9,63,466.61,5,0,3,304,0,0,1,0,0,1
19,98.36,6747.13,10,9,414.8,7,3,2,274,1,1,1,0,1,0
56,163.18,4281.83,3,29,294.39,7,0,3,197,1,0,0,0,0,1
57,141.95,1335.48,15,14,173.58,7,3,4,4,0,0,1,0,1,0
41,188.82,5844.46,11,88,378.05,8,4,5,57,1,1,0,1,0,1
64,131.81,8984.59,5,72,298.9,1,1,2,323,1,1,0,1,1,0
42,37.61,4247.04,10,13,89.61,0,4,1,199,0,0,0,0,1,0
35,179.18,9116.18,14,3,162.9,8,0,2,193,1,1,0,0,1,0
55,158.45,5084.93,12,78,288.48,2,1,2,323,0,1,0,1,0,1
43,148.14,6246.33,9,24,352.98,7,1,4,119,1,1,0,1,0,1
31,29.67,8346.59,6,60,167.05,5,2,1,35,1,0,0,0,0,1
26,91.32,5689.51,9,74,456.01,2,4,2,352,1,1,0,1,0,1
27,50.14,1000.6,3,80,210.02,8,3,1,317,0,0,1,0,0,1
38,167.94,9811.7,13,12,83.09,9,4,5,128,0,1,1,0,0,0
69,146.1,2533.91,7,10,114.05,6,4,1,31,0,0,0,0,0,1
34,178.95,7134.0,17,63,107.41,7,1,4,274,0,1,1,0,0,0
69,193.98,5100.62,18,66,124.56,5,4,1,325,1,1,0,0,1,0
23,159.45,4839.85,4,91,198.0,1,4,1,193,0,1,1,0,0,0
33,198.96,2515.01,5,12,237.82,5,4,5,253,1,1,1,0,0,1
65,130.66,7249.29,11,96,275.72,4,2,5,196,0,1,0,0,1,0
18,26.68,1216.6,18,49,469.63,2,1,3,188,0,1,0,1,0,1
36,22.57,9905.49,19,59,289.28,2,3,1,102,0,1,0,0,1,0
53,81.58,8469.2,5,76,98.03,2,0,2,216,1,0,0,0,0,0
42,168.22,5391.64,16,2,233.12,6,1,5,260,1,0,0,1,0,1
67,175.9,4303.07,18,73,92.72,1,2,5,360,1,0,1,0,1,0
69,192.95,2936.0,14,26,456.43,3,3,4,263,1,0,0,0,0,1
47,31.72,5065.76,17,31,92.5,9,0,1,202,1,1,0,0,1,0
37,28.02,8806.23,9,34,309.17,6,1,1,273,0,0,0,0,1,0
37,184.39,2822.56,14,88,293.2,7,0,1,121,0,1,1,0,0,0
32,74.91,5055.32,12,21,315.34,8,2,4,276,0,1,1,0,0,1
57,120.44,2422.04,3,50,38.72,3,4,2,84,0,1,0,1,0,0
50,196.84,3437.78,18,9,151.77,1,0,2,277,1,0,0,0,1,0
19,92.08,1983.58,7,65,183.3,8,1,2,234,0,0,0,1,1,0
27,139.86,9906.34,3,35,462.35,3,2,3,322,1,1,0,1,1,0
50,92.16,5757.82,12,31,308.21,7,2,4,287,0,1,0,0,0,1
49,158.28,7354.87,15,85,405.83,5,2,4,352,1,0,0,0,1,0
28,114.99,1072.67,9,38,253.05,4,4,3,168,0,1,0,1,0,0
41,62.75,3724.56,18,23,204.68,6,4,1,86,1,0,1,0,0,0
53,68.84,8937.13,8,62,246.96,4,1,2,110,0,1,0,1,0,1
29,66.45,935.94,10,43,395.71,3,2,5,37,0,0,1,0,1,0
68,115.82,1738.28,12,49,54.59,5,3,2,130,1,0,1,0,1,0
46,146.57,6291.63,5,87,477.3,7,2,4,4,1,1,0,1,1,0
52,190.87,6265.61,11,21,305.74,2,1,3,171,1,0,0,0,0,0
18,144.94,8398.45,3,44,101.25,8,2,3,21,0,0,0,1,0,1
18,160.61,9361.38,8,8,31.44,5,2,4,108,0,1,0,1,0,0
54,50.41,1505.67,8,66,72.76,7,3,4,86,1,1,1,0,1,0
23,87.33,2667.8,1,46,62.48,3,1,3,209,1,0,0,1,0,1
56,94.48,4331.87,5,31,207.3,9,2,4,251,0,0,0,0,0,0
58,143.55,108.94,11,13,349.08,0,4,2,65,1,0,0,1,1,0
35,73.26,791.16,9,70,132.59,2,0,3,137,1,0,0,1,0,1
33,74.59,2342.26,13,57,198.67,8,3,3,105,1,0,1,0,0,0
22,84.06,4862.91,7,22,286.46,5,3,5,261,1,1,0,0,1,0
59,165.85,2590.08,3,70,408.6,1,1,2,4,0,1,0,0,0,1
60,123.97,8779.15,12,17,307.76,6,4,2,323,0,1,1,0,0,0
49,33.55,3310.3,13,44,100.75,8,4,1,259,0,0,0,0,1,0
19,34.08,9253.77,16,24,129.65,1,4,5,262,0,0,0,0,0,1
19,86.83,9750.39,9,41,191.99,3,1,4,307,0,1,0,1,1,0
57,157.99,4553.63,9,38,248.66,7,1,3,182,1,1,1,0,1,0
59,143.96,2348.58,14,49,443.26,0,1,5,42,0,0,0,0,0,1
53,147.44,2987.49,1,40,130.87,2,2,1,138,0,0,1,0,1,0
56,158.1,7785.7,1,39,464.56,0,2,1,267,0,1,0,1,0,1
29,71.69,2806.16,16,44,388.99,5,3,2,284,0,1,0,0,0,1
64,118.69,3867.77,18,49,166.56,4,3,3,104,1,1,1,0,0,1
36,117.8,4837.9,13,1,483.73,5,0,1,162,1,0,0,0,0,0
45,153.13,5793.6,17,10,190.7,6,0,4,85,1,0,1,0,1,0
18,192.24,9961.39,12,16,342.92,7,3,2,8,1,1,0,1,1,0
32,70.04,2398.88,16,53,468.91,0,0,5,219,1,0,0,1,1,0
53,162.79,3598.89,1,54,396.71,7,2,3,87,0,1,0,0,0,1
30,138.79,2702.62,15,5,444.39,7,3,2,8,1,1,0,0,0,1
60,124.44,3675.02,5,29,89.22,4,1,5,112,0,1,1,0,0,1
38,159.48,1097.96,19,36,325.33,8,4,1,227,1,1,0,0,0,0
29,189.93,3662.12,18,21,49.15,8,1,1,303,0,1,0,1,0,0
22,26.6,8889.86,9,7,490.18,4,0,2,240,0,0,0,1,1,0
24,46.53,3056.04,5,42,352.16,3,1,1,111,0,1,0,1,1,0
22,156.13,3782.15,11,32,61.07,3,3,2,269,1,0,0,0,0,1
65,35.08,9450.29,2,90,398.57,1,3,4,276,1,0,1,0,1,0
21,112.9,7310.95,2,81,236.53,9,0,1,340,1,0,0,1,0,1
30,59.57,5215.71,15,69,48.96,6,3,3,23,1,1,0,1,1,0
54,69.37,7794.21,19,14,404.14,2,1,1,335,1,0,0,0,0,1
58,146.33,1319.48,4,34,27.27,4,4,3,325,0,1,0,0,1,0
32,25.43,4698.45,17,18,399.71,6,0,2,207,0,1,0,0,0,0
33,177.2,1270.54,6,66,291.37,9,4,3,223,0,0,0,0,1,0
38,100.01,2412.82,4,90,11.33,9,2,1,278,1,0,1,0,1,0
53,110.43,1504.49,16,48,228.21,9,4,5,209,0,1,0,0,0,0
41,117.21,3681.83,14,87,309.19,2,3,2,147,0,0,1,0,0,0
33,136.2,3878.23,9,43,110.51,5,1,3,353,1,1,1,0,1,0
31,82.07,9478.35,8,23,125.7,8,4,1,82,0,1,0,1,0,0
39,38.2,2714.84,12,82,41.71,8,4,1,266,1,0,0,1,0,0
66,77.31,4777.05,9,68,338.17,5,1,4,95,0,1,0,0,0,0
67,50.27,8132.66,9,20,105.31,0,0,4,261,1,1,0,1,0,1
23,120.1,8174.61,19,47,431.93,4,1,5,173,0,1,1,0,0,1
59,77.25,7528.4,6,30,381.68,8,2,2,162,0,1,0,0,0,0
53,192.45,2949.55,7,69,55.55,2,4,4,144,1,0,0,0,0,1
18,193.83,5000.22,6,85,283.26,9,1,5,255,0,0,0,0,0,0
49,131.62,1943.49,12,31,212.13,5,4,3,195,1,1,0,0,1,0
23,131.15,1965.16,16,45,391.58,0,0,2,169,0,0,0,1,1,0
48,197.37,4414.83,13,80,334.47,9,4,2,145,0,0,0,0,1,0
18,179.71,7412.06,5,34,48.3,4,4,4,78,1,0,1,0,1,0
67,157.71,5313.18,4,5,491.01,3,1,2,150,0,0,0,0,1,0
68,76.45,8878.16,19,84,135.89,7,0,5,332,0,0,0,1,0,0
54,85.8,8326.0,18,38,135.22,2,2,2,82,1,1,1,0,0,0
52,56.23,412.89,13,53,159.35,2,1,1,112,1,1,0,1,1,0
66,107.69,5727.35,13,65,488.27,0,1,5,58,0,0,0,1,0,0
47,198.27,6130.7,1,18,403.85,0,0,5,38,1,0,0,1,1,0
21,184.19,9619.59,1,18,52.17,8,3,2,203,0,0,0,1,0,1
52,41.3,330.04,7,40,214.81,6,4,2,362,1,0,0,0,0,0
60,24.53,5357.93,4,19,429.09,2,1,4,259,1,1,0,1,1,0
31,181.75,2127.34,10,6,181.12,5,0,1,121,0,0,0,0,1,0
66,116.69,631.26,9,99,152.79,1,1,4,216,1,0,0,0,0,0
57,56.03,5916.14,4,4,323.31,7,0,2,199,1,0,0,1,1,0
39,141.26,7748.78,11,59,190.16,9,0,1,21,0,0,1,0,0,0
27,135.96,7771.17,13,1,89.19,4,2,3,21,1,1,0,1,0,1
18,41.98,399.86,9,36,246.8,0,0,4,190,0,1,0,1,0,0
28,66.73,4128.77,7,26,407.73,3,0,2,359,1,0,0,0,0,0
68,30.81,540.65,8,85,423.82,5,3,5,50,0,0,0,0,0,1
61,57.77,2553.6,19,94,311.67,6,4,5,326,0,0,0,0,0,1
41,43.82,2009.52,16,66,499.57,5,2,2,337,1,0,0,0,0,1
20,54.78,2230.31,5,15,492.49,5,4,3,245,0,1,0,1,1,0
52,143.38,3457.27,12,45,126.96,1,1,3,179,0,1,1,0,0,1
53,28.91,2846.44,12,5,387.75,0,2,1,208,1,1,1,0,0,0
48,38.33,9626.57,13,71,100.11,7,2,5,296,0,0,1,0,1,0
21,44.15,3588.83,1,18,211.59,3,0,3,274,0,1,1,0,1,0
36,76.98,8952.31,6,94,14.88,3,3,4,352,1,1,0,0,0,1
64,73.78,1892.31,7,62,108.7,1,0,3,27,0,0,0,1,0,1
53,65.91,7661.09,14,57,119.57,4,3,4,30,0,1,0,0,0,1
38,155.1,707.32,6,2,494.0,8,2,5,140,0,0,0,0,1,0
35,199.64,4681.34,19,17,30.41,5,2,4,231,0,0,0,1,0,1
68,116.12,154.55,13,67,473.47,8,3,2,322,1,1,0,1,0,1
45,189.96,8121.88,15,79,420.71,6,0,4,303,1,1,0,1,0,1
32,91.39,9509.81,4,50,21.01,7,0,2,254,0,0,0,0,0,1
59,39.2,447.56,10,25,77.0,5,2,3,236,0,1,1,0,0,1
19,93.58,9345.08,6,70,318.22,0,0,2,49,0,1,0,0,1,0
54,73.3,7761.15,2,22,181.89,4,2,5,120,0,0,0,0,1,0
28,108.81,3652.73,2,9,177.27,3,2,5,231,1,1,0,1,0,0
40,138.27,9097.88,1,73,351.27,8,1,4,52,1,0,0,0,0,0
61,102.99,3032.95,16,34,497.43,5,3,5,4,0,0,1,0,0,0
58,188.33,4152.02,11,70,173.03,6,3,1,338,1,1,1,0,1,0
29,179.26,1057.44,13,97,462.29,5,1,4,319,1,1,0,0,0,1
20,146.36,6603.7,14,1,366.94,5,1,1,5,0,0,0,1,0,1
69,108.14,393.05,4,44,425.02,0,4,5,82,1,1,0,0,0,1
34,43.7,4900.56,11,7,259.33,0,2,3,227,1,1,1,0,0,0
50,91.46,6863.6,10,15,271.31,7,4,3,196,0,0,1,0,1,0
18,146.79,8230.25,6,38,277.77,7,2,5,50,1,0,0,0,0,0
56,71.28,1584.42,14,93,286.92,8,3,3,114,0,0,1,0,0,0
37,38.72,7565.49,9,81,80.78,2,4,3,148,1,1,0,0,0,0
64,183.42,7218.86,18,54,111.45,1,2,5,303,0,1,1,0,0,1
60,147.63,5639.75,14,30,85.33,7,3,5,339,1,0,0,1,0,1
69,130.75,5887.98,4,83,103.58,6,3,1,296,0,0,1,0,0,1
58,162.65,1003.58,1,94,335.83,0,1,2,331,1,1,0,0,0,0
31,170.42,6044.66,15,4,111.19,0,1,1,126,0,1,0,0,0,0
48,107.02,3877.07,15,75,440.41,6,4,4,222,1,1,0,1,1,0
42,178.61,8689.05,7,42,68.54,5,0,4,201,1,0,1,0,0,1
20,184.96,3199.68,16,40,494.48,5,0,3,127,1,1,0,0,0,0
21,68.88,5808.29,6,97,10.7,7,3,4,99,0,1,1,0,1,0
48,129.36,4323.06,1,33,423.5,0,2,3,188,1,1,0,1,0,0
52,114.79,8774.99,8,29,10.98,0,4,5,214,1,0,0,0,0,0
61,116.83,2613.78,8,15,394.88,5,4,2,239,1,1,0,1,0,0
31,188.78,880.14,18,96,366.55,5,4,5,6,0,0,0,0,1,0
66,74.93,7511.69,1,99,350.32,1,2,5,69,1,0,1,0,1,0
58,197.02,4187.68,16,63,181.93,5,3,5,37,0,0,0,0,1,0
26,182.38,5932.07,12,62,317.27,1,2,3,125,1,1,0,1,0,1
37,102.57,361.25,12,68,303.71,5,4,3,40,0,0,0,0,1,0
49,167.14,9525.89,19,14,372.37,9,2,2,119,0,0,0,1,0,1
26,158.43,8788.42,12,19,357.91,7,3,5,86,1,1,0,0,0,0
44,142.02,6276.29,7,82,131.63,4,0,2,250,0,1,0,1,0,1
20,77.57,268.6,8,62,357.7,7,4,3,165,1,1,1,0,1,0
21,55.36,3841.97,4,35,163.11,2,0,5,175,1,0,0,0,0,1
62,140.87,9790.09,6,99,198.9,0,1,2,205,0,1,1,0,1,0
32,171.74,6845.17,18,84,151.01,3,0,4,206,1,1,0,0,0,0
50,22.93,1693.78,1,69,372.21,8,1,5,196,0,1,0,0,1,0
22,135.7,4659.91,12,76,418.99,2,2,4,174,1,0,1,0,1,0
21,99.72,9670.7,2,22,131.84,2,1,4,41,0,0,0,1,0,1
63,181.66,5393.61,19,4,261.9,0,0,1,106,0,0,1,0,1,0
29,77.87,343.68,15,35,355.75,3,3,5,185,1,0,1,0,1,0
40,105.35,6235.74,19,84,414.02,0,3,2,287,1,1,0,0,0,1
31,112.66,2785.04,10,91,366.36,7,0,2,338,1,1,0,1,0,1
63,45.28,1078.57,7,73,58.6,3,0,2,348,1,0,0,1,1,0
29,148.32,4088.79,5,79,345.2,7,1,4,324,1,0,1,0,1,0
34,169.49,5629.38,12,36,453.65,1,0,5,283,1,0,1,0,0,1
42,30.42,268.7,18,77,226.57,5,0,1,43,1,0,0,1,0,0
47,72.45,5634.56,1,82,373.88,5,0,3,204,0,0,1,0,0,1
39,26.85,5160.91,12,88,481.34,7,0,1,122,0,0,0,0,0,1
64,192.18,7959.69,19,82,350.04,0,4,2,148,0,0,0,0,1,0
43,140.09,4293.14,9,97,151.97,3,4,1,342,1,0,1,0,0,1
34,193.56,5579.16,3,50,231.52,3,3,4,101,0,0,0,0,0,1
37,115.67,7445.89,19,12,239.67,6,1,2,53,1,1,0,1,0,0
51,164.37,8981.74,7,67,426.03,0,3,1,234,1,0,1,0,1,0
58,87.39,3862.34,15,23,484.45,1,3,1,242,0,1,0,0,1,0
50,83.69,6056.17,12,69,300.67,7,1,3,237,1,0,1,0,0,0
54,88.09,6976.65,2,42,47.69,6,1,2,232,1,0,0,1,0,1
24,138.42,528.38,14,43,475.28,8,3,3,110,0,0,0,0,0,0
39,84.7,8027.53,14,16,497.07,7,0,2,222,1,0,0,1,0,1
49,182.07,3836.56,2,60,203.83,2,0,3,338,0,1,1,0,0,1
31,196.99,6735.37,11,61,414.66,6,2,1,14,1,0,1,0,0,0
25,25.48,4769.47,14,82,222.6,1,2,4,191,0,0,0,0,1,0
42,54.85,7053.16,15,78,350.78,8,2,3,322,1,0,0,1,1,0
33,40.2,7270.88,1,96,30.52,4,3,2,119,1,0,1,0,0,1
59,27.63,1996.55,12,4,446.44,9,1,5,278,1,1,0,1,1,0
36,60.99,6655.52,8,46,31.95,5,4,5,76,1,0,0,1,0,0
58,100.42,8528.1,4,26,117.83,8,1,3,341,1,0,0,0,0,0
33,170.66,2432.12,15,52,288.2,2,4,1,202,0,0,0,1,0,0
29,59.93,7606.02,1,29,442.5,9,1,3,268,0,0,1,0,0,0
56,108.91,6374.87,9,83,143.52,1,1,4,136,1,1,1,0,0,0
65,187.33,9555.75,4,96,53.77,3,4,2,157,0,1,0,0,1,0
47,140.1,2676.44,12,24,406.69,1,0,5,144,0,0,0,1,0,1
19,163.65,1627.35,2,11,186.06,3,2,2,358,0,1,1,0,0,0
49,119.18,3190.0,7,14,374.37,8,3,2,348,1,1,1,0,0,1
62,196.48,2653.79,15,78,104.27,8,3,3,150,0,1,0,0,0,1
42,125.96,7592.64,5,14,124.1,7,0,1,282,1,1,0,1,0,0
42,28.19,7357.78,11,84,183.49,9,0,2,217,1,0,0,1,0,1
21,55.64,6729.88,4,66,394.48,4,3,1,202,0,1,0,1,1,0
36,92.86,2242.15,16,4,469.79,7,4,4,74,0,0,1,0,0,1
65,128.23,8631.89,7,13,395.73,1,3,4,252,1,1,1,0,0,1
21,158.95,9570.06,12,9,13.81,3,1,1,130,0,0,0,0,0,0
60,94.36,5362.9,3,11,406.14,0,4,3,349,0,0,1,0,1,0
30,147.81,6528.79,4,7,321.85,0,0,3,121,1,0,0,0,0,0
56,162.18,5056.85,18,53,401.28,3,3,3,232,0,0,0,0,0,0
53,77.11,2907.22,11,32,290.44,8,0,5,293,1,1,0,1,1,0
40,196.27,2932.86,1,44,24.04,3,4,4,221,0,1,0,0,0,0
23,136.94,3202.86,7,96,403.53,1,1,4,44,1,0,0,1,0,1
41,178.58,1989.42,2,22,47.42,4,1,2,196,0,1,0,1,1,0
61,120.07,9029.04,15,14,180.64,9,0,1,10,0,1,1,0,1,0
50,153.49,8598.14,4,72,274.89,6,4,5,164,1,1,1,0,0,0
29,158.7,4670.23,18,46,150.08,6,1,5,7,0,0,0,0,1,0
58,183.48,3735.79,8,29,382.26,6,1,2,231,0,1,0,0,0,0
38,47.06,9396.88,15,83,487.32,1,1,1,82,0,1,0,0,0,1
28,120.49,2301.5,12,30,236.66,1,4,3,86,1,1,0,0,0,0
61,97.11,5580.07,14,62,476.85,8,1,2,126,0,0,1,0,0,0
55,186.17,639.53,1,27,459.35,7,4,3,204,1,1,0,0,1,0
46,38.92,1992.9,1,51,410.95,0,0,3,297,1,1,0,1,1,0
65,196.86,6079.87,19,16,366.16,6,4,3,264,1,0,1,0,0,0
58,177.58,6655.62,18,47,19.81,6,0,3,28,1,1,0,1,0,1
20,33.29,5851.86,10,66,451.79,3,0,4,298,1,0,0,0,0,0
45,108.37,8709.05,6,52,290.57,3,1,2,320,1,1,1,0,0,1
37,149.16,9934.71,13,26,74.47,8,0,5,347,1,0,0,1,0,0
43,152.87,7662.23,18,19,348.79,2,0,1,203,1,1,1,0,1,0
41,183.17,4704.41,4,40,143.23,8,2,4,229,1,1,0,1,0,1
69,163.98,8355.95,4,49,348.95,1,2,2,294,0,0,1,0,0,0
64,75.97,1291.84,3,46,49.41,3,2,3,97,0,1,0,1,0,1
38,109.72,6864.38,6,23,487.78,4,3,4,6,1,1,0,1,0,1
47,146.32,5231.54,7,28,42.6,4,4,1,253,1,0,0,1,0,0
21,44.92,1862.85,9,76,435.18,3,4,3,314,0,0,1,0,0,1
53,54.92,9732.04,1,45,164.79,3,2,2,202,1,1,0,1,0,0
57,106.59,3450.53,13,39,153.62,3,1,4,347,1,1,0,1,0,0
27,73.68,6192.69,7,1,203.54,4,2,3,44,1,1,0,0,0,1
27,175.26,8798.08,8,10,388.55,7,4,4,295,0,0,0,1,0,0
59,125.53,5116.22,10,23,107.88,9,2,3,89,1,1,0,0,1,0
41,82.76,1239.86,7,70,229.07,3,1,3,133,0,1,1,0,0,1
21,172.79,8205.52,6,24,249.51,2,4,3,75,1,0,0,1,1,0
64,164.88,3596.82,5,71,454.69,1,0,4,218,0,1,1,0,1,0
44,199.7,9832.36,8,87,281.88,2,1,5,125,0,0,0,0,1,0
68,172.52,8849.87,16,88,322.94,3,3,1,310,0,1,0,0,1,0
62,94.6,8549.15,4,66,448.1,9,2,4,176,0,0,1,0,1,0
21,42.95,3626.91,8,56,173.34,2,4,2,28,0,0,0,1,1,0
49,171.32,7595.58,9,56,45.4,6,1,1,90,0,0,1,0,0,0
27,30.76,9864.66,19,27,396.37,5,3,1,28,0,1,0,0,0,0
28,83.05,5310.58,15,32,381.78,7,4,3,131,0,1,0,0,0,1
45,185.55,4760.25,8,20,168.91,6,4,2,319,1,0,0,1,1,0
63,192.94,245.19,3,62,474.5,7,2,4,364,0,1,0,0,0,0
25,135.3,7032.02,3,26,418.51,1,1,3,2,0,0,0,1,1,0
57,143.96,8598.93,17,72,11.38,9,0,2,265,0,0,0,1,0,1
39,27.64,2549.83,14,12,61.78,2,4,2,360,1,0,0,1,0,0
51,112.61,3218.74,14,58,237.63,3,1,1,57,1,1,0,0,0,0
62,118.44,5056.7,2,56,456.05,8,3,2,311,1,0,1,0,0,0
52,81.22,813.59,14,18,96.37,1,0,5,61,0,1,1,0,1,0
52,32.35,987.46,11,55,337.79,7,4,2,314,0,1,0,0,1,0
42,61.2,4269.0,14,1,435.33,2,2,5,22,0,1,1,0,0,0
51,84.44,2686.07,7,12,465.64,2,2,3,130,0,0,1,0,1,0
23,98.33,4119.77,19,37,331.47,7,0,4,62,0,1,0,0,0,1
58,126.37,4598.42,8,78,182.89,8,4,4,5,1,1,1,0,0,0
54,150.03,9765.11,14,9,188.27,0,4,5,274,1,1,0,0,0,0
18,77.17,9448.17,4,64,383.5,3,3,1,132,1,1,0,1,1,0
29,79.21,1483.33,11,11,436.71,9,3,4,287,1,0,0,1,1,0
52,23.54,8837.6,4,90,481.32,6,2,2,173,1,0,1,0,0,1
23,27.36,894.05,6,10,382.03,6,2,4,307,1,0,0,0,0,0
34,66.41,5125.59,6,85,283.81,7,4,3,88,1,1,0,1,0,1
26,153.24,1722.71,2,5,457.4,4,1,2,81,0,1,0,0,0,1
19,133.1,3722.33,19,60,471.97,9,3,3,128,1,1,0,0,0,0
35,158.56,7459.07,1,40,239.12,4,0,4,346,1,0,0,0,0,1
66,158.41,4302.6,13,81,474.71,3,0,1,92,1,1,1,0,0,0
53,174.18,8088.82,14,83,305.59,8,0,2,16,1,0,0,1,1,0
45,149.66,7216.28,3,79,210.42,7,2,3,25,0,0,1,0,0,0
58,196.22,9434.11,19,88,442.58,9,1,5,258,0,1,0,0,1,0
54,181.79,5388.14,17,53,215.65,2,0,3,181,1,1,0,1,1,0
66,125.61,8041.26,4,49,186.57,8,2,5,267,1,1,1,0,1,0
43,125.87,3296.78,13,31,411.17,9,3,5,330,0,0,0,1,0,1
21,26.17,3522.88,9,4,487.78,1,3,1,330,1,0,1,0,0,1
57,199.73,4065.05,4,11,334.83,2,1,5,130,1,0,0,0,1,0
53,43.68,4168.07,10,33,168.63,5,2,2,75,1,0,0,1,0,1
68,153.26,1122.21,13,22,419.47,3,4,4,42,1,0,0,0,0,1
48,167.78,5239.08,18,42,457.81,1,3,3,107,1,1,0,0,0,0
47,87.15,1058.35,12,98,83.04,6,2,2,30,1,1,0,1,0,0
67,55.43,8908.65,16,19,161.62,1,1,5,77,1,1,0,1,1,0
51,37.78,712.26,1,98,312.37,8,3,2,193,0,0,1,0,0,0
36,154.75,4551.97,14,52,172.97,5,2,2,350,0,1,1,0,1,0
35,101.48,2918.47,7,77,312.85,9,4,1,67,0,0,0,0,0,1
47,148.47,1633.21,5,64,415.34,3,4,5,70,0,1,1,0,0,1
38,184.77,7859.98,2,53,77.86,3,1,2,17,0,0,0,1,1,0
20,46.39,7177.83,4,67,315.85,7,3,3,15,1,1,0,1,0,1
23,185.45,1544.88,10,90,335.05,6,1,1,11,0,0,0,1,0,0
55,94.09,6364.38,15,95,438.16,4,4,2,133,0,1,0,0,0,0
30,74.95,7946.3,19,52,359.32,5,1,3,7,1,0,1,0,1,0
62,189.75,7755.99,15,93,396.61,5,3,3,109,1,1,1,0,0,0
20,198.32,1013.57,19,42,91.1,2,3,5,152,1,0,1,0,0,0
65,55.8,6886.58,10,18,74.91,3,2,2,86,0,1,1,0,0,1
45,138.23,7188.64,3,15,453.21,8,2,5,261,1,1,1,0,1,0
39,39.17,8635.45,11,60,91.1,5,0,3,56,1,1,1,0,1,0
57,137.16,5129.64,18,61,191.48,9,2,2,105,0,0,1,0,0,1
57,168.92,4664.83,2,14,397.18,3,0,5,258,1,1,0,0,1,0
29,143.21,9654.65,18,98,39.62,4,2,5,206,0,0,1,0,0,1
40,95.12,7985.47,15,23,264.81,9,3,4,172,0,1,1,0,1,0
48,88.95,5631.44,16,62,277.49,6,3,1,42,1,1,1,0,1,0
35,90.76,3373.11,19,89,11.99,2,1,3,351,1,0,0,0,1,0
24,126.15,8467.86,19,31,202.64,8,3,3,105,1,1,1,0,0,1
