Age,Gender,Department,Job_Title,Years_at_Company,Satisfaction_Level,Average_Monthly_Hours,Promotion_Last_5Years,Salary,Cluster_Label
27,1,0,0,9,0.5862512562476163,151,0,60132,0
53,0,1,1,10,0.2611608894502527,221,1,79947,1
42,0,2,0,1,0.4807788698060304,242,0,40662,2
44,0,1,1,10,0.6362438875959893,229,1,74307,0
47,1,1,3,10,0.8890176690263424,237,0,97212,1
58,1,0,3,5,0.6889765787941906,155,1,97865,1
57,0,1,2,8,0.9816786912170572,171,0,50113,2
57,0,0,1,7,0.4667823596824307,170,0,43283,2
50,1,0,4,3,0.177106991916612,158,0,55665,0
41,1,2,4,10,0.5834543121833854,199,1,39979,2
28,1,3,4,9,0.5187154765048624,169,1,79639,1
27,1,2,0,8,0.8482168664314631,193,1,50307,2
45,1,2,3,4,0.6455399096929486,172,0,94005,1
53,1,0,3,9,0.6232736072503224,216,1,99093,1
58,0,1,0,4,0.921873191428868,160,1,95910,1
55,0,1,2,6,0.9974983056464304,224,1,59231,0
52,0,3,3,6,0.0684118319159797,156,0,68979,0
59,0,0,4,8,0.7794191135416246,183,1,65901,0
30,0,4,3,8,0.9972321903265292,237,1,51252,2
59,1,4,3,7,0.9634812500143196,212,0,86371,1
35,1,1,2,3,0.629359923471385,220,0,59546,0
47,1,4,4,5,0.5478731972934493,247,1,80887,1
43,1,3,4,5,0.6735533011395514,201,0,70977,0
40,0,4,2,10,0.8142447004066163,222,0,40055,2
52,1,1,3,6,0.4215038668673729,161,1,99265,1
31,1,2,4,7,0.0688672036680544,186,1,69612,0
39,0,3,0,1,0.1986410461527854,177,1,45124,2
36,0,4,4,8,0.3220177285836241,200,0,38871,2
26,0,3,3,5,0.1855352600528069,228,1,61224,0
50,1,3,3,7,0.6146705651653954,223,0,31506,2
52,1,0,4,5,0.5888936453962129,236,0,98061,1
47,1,2,1,9,0.3802924948041679,173,1,34647,2
36,1,1,4,8,0.6884839803327588,160,1,71087,0
46,0,2,1,9,0.2329872462769809,214,1,50921,2
59,1,3,4,6,0.9788778921567572,220,1,59060,0
28,1,1,2,6,0.4635655413211493,165,0,46658,2
55,1,0,2,3,0.3840634190592947,212,1,48184,2
31,1,4,3,5,0.1149234302377638,165,0,58575,0
48,1,4,1,8,0.517683817968095,154,1,72928,0
39,1,2,1,5,0.4331143300314448,168,0,74105,0
44,1,1,2,7,0.0679474523347238,185,0,43038,2
37,0,3,2,8,0.2880329109565633,226,0,49824,2
42,0,0,4,2,0.9419529770864274,178,1,30821,2
26,1,4,1,6,0.8667742741785324,218,1,48520,2
41,0,0,1,8,0.8013461562458192,227,1,69674,0
50,0,1,2,1,0.9164436095186694,173,1,97663,1
25,1,4,2,1,0.8070531852055509,204,1,71807,0
54,0,2,2,1,0.8616317688824431,218,0,90011,1
26,1,4,1,10,0.0013764983438844,157,1,91398,1
29,0,4,1,7,0.4270432429444565,237,0,78600,1
32,1,1,1,6,0.8732228709264533,238,1,40798,2
26,1,3,2,1,0.0083909121579306,214,1,52415,2
37,1,3,2,6,0.1787610264156853,211,0,38085,2
32,1,4,4,5,0.9031597113004118,176,0,58364,0
49,1,3,1,5,0.7229597427567956,194,1,40742,2
31,1,1,0,2,0.4489629871717319,201,0,84407,1
45,1,2,1,10,0.2854002730521404,165,1,70060,0
57,0,0,0,4,0.6625437194169094,244,1,99321,1
33,0,2,2,7,0.4264524724420461,209,1,38495,2
39,0,2,1,2,0.7920330007370426,207,1,70941,0
26,1,0,4,2,0.0767775330836085,211,1,49523,2
31,0,1,4,4,0.9360951479087892,209,0,73359,0
50,1,0,1,5,0.3385658495620338,160,0,99328,1
32,1,0,4,10,0.4676564847461099,189,0,47802,2
26,0,2,1,6,0.0507593323184546,226,1,97181,1
39,1,0,3,6,0.6890821940573552,169,0,35521,2
28,0,3,2,10,0.5244977051345444,246,0,54477,0
49,0,1,3,9,0.1270735768470797,178,1,37543,2
48,0,2,0,7,0.8895685676398605,184,0,87607,1
30,0,3,1,2,0.8783340929817791,232,0,97217,1
58,0,3,1,2,0.8654682799925634,218,0,52961,2
27,1,2,3,5,0.2309574950974338,154,1,38532,2
43,1,3,3,10,0.0725329921472728,235,0,80112,1
43,1,4,2,9,0.160936631676983,154,0,74736,0
36,0,2,2,8,0.4173950950837386,161,0,73980,0
53,1,1,2,5,0.6717440322109104,245,0,45278,2
35,0,0,3,1,0.6772484897936986,247,0,92394,1
28,0,2,4,6,0.6106453354258036,200,1,40991,2
48,0,1,0,8,0.5134980096275745,194,1,76164,0
52,0,4,0,5,0.7724070601221441,156,0,90927,1
46,1,1,0,10,0.4816047670592061,202,0,35793,2
48,1,0,2,7,0.0333534333975008,199,0,70990,0
29,1,4,1,1,0.3961343284493179,217,1,79792,1
34,1,1,1,4,0.1227164388223442,243,1,81233,1
27,0,4,1,3,0.812001780963352,249,0,39563,2
27,0,3,1,2,0.3771194813590839,240,1,83240,1
28,0,0,0,9,0.8042511218402405,249,0,81682,1
59,0,4,1,10,0.336936894902293,206,0,79759,1
50,1,2,4,8,0.7774639950536905,190,1,83237,1
27,0,3,1,3,0.2367118910950432,232,1,83418,1
50,0,4,1,8,0.7702804181721487,188,0,89030,1
28,1,2,0,3,0.3596794915283456,243,0,57604,0
31,0,1,2,6,0.4642991998299196,225,0,82445,1
53,1,4,2,3,0.1303839648932181,218,1,62533,0
46,0,1,3,4,0.745609677877397,237,0,50467,2
50,1,2,3,9,0.1354301255029251,242,1,62104,0
39,0,2,0,4,0.3061616713893539,184,0,80067,1
39,1,0,3,7,0.2396089157509672,153,0,46544,2
48,1,3,0,10,0.3230523853706029,190,0,69385,0
53,1,1,0,1,0.753165520167058,242,0,56338,0
41,0,3,3,8,0.4853894200641894,177,1,51112,2
40,0,4,1,10,0.0813347039976083,186,0,32762,2
41,1,1,3,9,0.9050240368752758,178,0,48449,2
45,0,4,1,7,0.3535684286362508,188,1,65708,0
51,1,2,3,6,0.6142016087040615,243,0,55484,0
43,1,1,1,4,0.982782485480021,213,0,46780,2
51,1,3,3,3,0.189753019799455,186,1,71794,0
26,0,2,1,5,0.870157068943182,168,0,30773,2
42,1,1,2,4,0.7224404540139828,169,1,43764,2
47,1,4,1,8,0.755911845876967,210,1,88219,1
50,1,0,2,8,0.6066135893872816,160,1,72592,0
35,0,0,2,3,0.8827206930170112,245,0,85608,1
25,1,2,0,4,0.6296221200264839,186,0,65583,0
44,0,3,1,8,0.2385849578117387,223,0,91789,1
55,0,3,4,6,0.0535917321415621,153,1,99859,1
48,1,0,2,8,0.6294121375464287,219,0,53324,2
44,0,4,0,4,0.1758740923768769,151,0,76479,0
54,0,3,4,9,0.3139374508363791,239,1,83385,1
44,0,0,2,3,0.5606912803950348,172,1,76642,0
30,0,1,1,6,0.4791137622140829,166,1,85225,1
38,1,1,1,8,0.5406084474308369,150,1,99113,1
54,0,1,3,5,0.8744153954319644,195,1,77459,1
31,0,0,3,1,0.2703892784035099,193,0,88083,1
46,0,2,0,10,0.4778966129509253,248,0,50184,2
41,0,4,0,2,0.1082830588606466,160,1,55262,0
55,0,2,0,9,0.041657479635724,225,0,30935,2
41,0,2,3,5,0.7467441907538663,232,0,75106,0
59,1,1,1,9,0.4221404816997965,165,1,71466,0
39,1,4,4,7,0.9857245189982288,164,0,39162,2
44,0,2,1,7,0.8822248592017625,213,1,97161,1
31,0,4,3,7,0.8242514718170053,167,1,91779,1
51,0,0,2,3,0.4703071038271061,200,0,87771,1
32,0,4,2,1,0.4200610152440176,216,0,94728,1
38,0,0,0,8,0.2353917856553419,171,0,45405,2
39,0,4,1,8,0.6011456744846184,211,1,64406,0
57,0,2,2,7,0.3327112394341184,241,1,69509,0
28,0,0,0,6,0.6626514178250861,151,0,47534,2
38,1,3,1,4,0.8825120659749648,191,1,64345,0
59,0,1,2,3,0.2117559825197309,159,0,71088,0
57,1,2,1,4,0.5445820847140584,186,0,43095,2
27,0,3,1,1,0.8910545559323334,210,0,96615,1
52,0,2,0,3,0.0522924194221243,249,0,69501,0
57,1,0,1,6,0.4103787013894439,181,0,30859,2
43,1,4,0,8,0.6063654346112507,166,1,54641,0
28,0,4,1,3,0.185515194861696,171,1,92828,1
56,1,1,0,7,0.806804516980408,187,0,97244,1
52,1,4,1,6,0.5964382479783219,184,1,88353,1
52,1,1,3,10,0.2646727531603636,192,0,73863,0
55,0,3,1,3,0.1667361819901796,170,1,42371,2
45,1,0,1,6,0.365983240298922,174,0,70764,0
32,0,0,1,2,0.020531869438875,242,0,46116,2
38,1,0,4,6,0.2344436523300886,237,1,47944,2
49,1,1,1,2,0.9017869230139792,176,1,73713,0
56,0,3,4,2,0.3246481106098788,187,0,69641,0
26,1,0,0,2,0.4768939879659861,233,1,67394,0
51,0,0,2,5,0.8942345965718732,248,1,37001,2
26,0,2,0,8,0.320226591672993,247,1,93742,1
32,0,2,3,3,0.555592856316026,169,0,36843,2
44,1,4,4,7,0.482527131469904,234,1,55467,0
50,0,0,4,5,0.7808650299950486,241,1,32747,2
25,0,2,2,8,0.3433300669120942,233,0,59075,0
50,1,4,4,3,0.3043348914060151,162,0,76410,0
53,1,0,1,3,0.9640995577834895,246,0,71557,0
26,1,3,0,9,0.8943357833843707,206,0,85613,1
53,1,4,0,4,0.1084019326349473,197,1,81995,1
50,1,2,0,3,0.8457289042540396,216,0,93274,1
37,0,0,0,1,0.5573794477321943,174,0,52963,2
27,0,1,0,1,0.1081703549776673,225,1,71482,0
51,1,2,3,7,0.0231207394497554,241,0,88569,1
44,0,2,1,8,0.4717567000725837,186,1,52300,2
54,1,0,4,9,0.8066039730769589,156,1,89623,1
34,1,1,4,8,0.4296447968665909,167,0,77841,1
33,0,4,4,4,0.1755961736739834,176,0,49834,2
43,0,0,3,2,0.467445696090173,190,1,42699,2
45,1,1,2,1,0.6012340088448226,207,1,65174,0
51,0,0,0,2,0.1168482366907943,156,1,50329,2
33,1,3,0,7,0.7680944937826767,246,1,69286,0
51,0,0,0,2,0.2450548574252506,221,0,73505,0
27,0,1,0,10,0.1785318270700687,150,1,91629,1
31,1,1,4,4,0.4721937125242693,155,0,72188,0
49,1,3,4,2,0.3944613186036805,229,0,72062,0
40,0,1,0,9,0.3080310877764133,154,1,77656,1
35,0,0,2,10,0.1059952131800213,183,0,78975,1
57,0,4,2,5,0.1159791225964911,220,1,82219,1
25,1,3,0,1,0.6857796007574043,150,0,44412,2
58,1,0,4,3,0.965687511600168,225,1,50656,2
45,0,1,4,2,0.3641803114996725,156,0,96293,1
44,1,4,3,5,0.1086991189042357,191,0,56613,0
50,0,0,1,2,0.8595326658902429,213,1,38562,2
31,0,3,4,10,0.7397303252435241,213,0,49301,2
54,0,1,3,10,0.5047448558901882,180,0,46467,2
32,0,1,3,5,0.9443566736458052,245,0,49158,2
28,1,2,0,4,0.3204255563386999,229,1,33966,2
45,1,1,2,7,0.9618660436759182,247,1,72481,0
59,1,1,1,10,0.1143675459848161,214,0,84131,1
32,1,0,2,5,0.4964679461867965,190,1,86091,1
53,1,2,1,5,0.2149843774850983,153,1,72604,0
40,0,0,3,4,0.1576528300781757,213,1,38056,2
34,0,3,4,7,0.8838541735805158,219,1,83069,1
45,1,2,0,6,0.54495817412352,243,1,62295,0
46,1,3,1,7,0.7216459569779543,184,1,65922,0
33,1,2,2,1,0.9674728333653362,205,1,45758,2
47,1,2,0,2,0.2755257905064046,243,1,34669,2
55,0,2,4,3,0.3551576924077917,212,1,72256,0
51,0,3,4,10,0.6069549325828829,218,0,51421,2
38,1,1,1,1,0.4678078150259314,186,0,93822,1
31,1,0,2,6,0.9217207282618706,187,1,73509,0
36,0,2,0,5,0.363328238453482,167,1,98405,1
52,1,2,4,9,0.0286107309839149,197,1,45758,2
45,1,4,0,7,0.4645542592188038,195,1,97650,1
54,0,3,1,4,0.467568223505663,175,1,63124,0
33,0,3,0,8,0.3736988418939307,171,1,76234,0
47,0,2,4,7,0.0266186381432422,182,1,33931,2
47,1,4,0,8,0.8001095367077115,196,1,51668,2
25,0,2,4,4,0.7015932931636033,194,0,80690,1
50,1,0,2,5,0.6569260520021919,225,0,50970,2
30,1,1,2,8,0.0933647321850577,192,1,32182,2
31,1,0,1,5,0.5127939521802685,159,0,64659,0
57,1,2,4,1,0.8395337616891257,249,1,39887,2
52,1,0,3,3,0.7850547151359385,223,0,79419,1
45,1,1,2,8,0.4906512616021815,189,1,41908,2
56,0,1,4,1,0.9885121487222146,234,1,68137,0
56,1,3,0,4,0.483386191012551,199,0,52386,2
55,1,1,2,5,0.7000659725689824,243,0,60907,0
47,0,3,0,10,0.8193483756195459,227,0,43501,2
48,0,1,1,1,0.4762533061042924,204,0,38228,2
54,1,1,3,4,0.7970506210087491,233,0,56690,0
54,0,2,2,4,0.1094978122988363,181,0,99206,1
32,0,1,4,6,0.8083482975820633,229,0,63277,0
50,1,2,2,4,0.5417513455488622,184,1,47899,2
28,1,4,2,4,0.280592195488053,221,1,45710,2
48,0,3,4,4,0.5697993435703675,153,0,62429,0
55,1,1,0,1,0.4900760437387719,237,0,46051,2
46,1,2,4,2,0.0665284657293517,233,0,98551,1
42,1,4,0,6,0.3592380580502808,232,0,98112,1
47,1,0,1,10,0.1743978615603132,150,1,83328,1
27,0,1,0,8,0.0388537701958044,205,1,78586,1
52,1,2,0,10,0.878065862891652,237,0,31475,2
33,1,3,4,5,0.639531828541022,215,1,50116,2
34,1,2,1,6,0.7710801122680846,211,1,60563,0
48,0,3,0,9,0.3163187572394733,230,0,63836,0
58,1,3,2,8,0.0351459259912524,170,0,91437,1
47,0,1,3,1,0.1255320905566372,220,1,85742,1
45,0,2,1,7,0.1511176949146666,153,0,68187,0
27,1,3,2,5,0.6015691234448843,189,0,90525,1
46,1,0,2,3,0.0028440059130773,198,1,42539,2
35,1,1,1,4,0.8591138709442458,195,1,97250,1
40,1,4,2,1,0.7204774343372721,231,0,74148,0
38,0,2,1,6,0.1256890186411599,183,1,87804,1
53,1,0,2,7,0.8465984658493394,201,1,83172,1
48,1,4,2,4,0.1591831994169379,169,1,66239,0
26,1,0,4,10,0.6725883728340728,220,0,44727,2
53,1,4,4,10,0.0952166504327931,162,1,48599,2
49,1,3,1,7,0.7675784850178553,246,1,61890,0
39,1,2,0,10,0.0873069212343484,205,0,34633,2
57,1,0,2,6,0.2965213339140977,239,1,99566,1
32,0,4,0,4,0.0754900278918915,221,1,31347,2
58,1,2,3,1,0.7875047728657362,232,0,99991,1
30,1,1,3,8,0.8969251246541502,204,1,82078,1
45,0,2,2,2,0.8260198518223637,227,1,72752,0
59,1,1,3,7,0.3200965267703672,249,1,99584,1
53,0,2,3,2,0.839469354594638,234,0,34172,2
59,1,2,3,8,0.3323672613165203,156,1,66406,0
57,1,1,0,5,0.8444804424857016,219,1,41439,2
54,0,2,2,1,0.3014501213273916,217,1,56769,0
44,0,4,2,3,0.5796032328481748,222,0,43791,2
38,1,2,1,3,0.9686851668543272,232,0,94306,1
47,1,1,2,8,0.3300871766793729,162,1,93791,1
38,1,3,2,5,0.576809546419559,184,1,51349,2
28,1,4,4,2,0.8310652409269009,195,1,31015,2
48,0,1,2,9,0.6771271066054553,151,1,64407,0
51,1,1,4,6,0.010444816496314,168,1,35667,2
39,1,2,4,8,0.8645313958359793,186,1,54380,0
28,1,4,0,7,0.275060304713645,230,1,99002,1
49,0,0,0,8,0.2289579637214033,161,1,53633,2
31,1,1,1,1,0.2989316232766223,203,0,75599,0
48,0,0,4,6,0.0517875281242717,194,1,54308,0
30,0,0,3,9,0.0239511178031345,185,0,65562,0
45,0,0,0,6,0.6202523281326736,194,0,85262,1
35,0,1,2,8,0.870768279550006,174,1,68662,0
38,0,4,1,10,0.4299398484711918,195,1,90263,1
49,1,0,3,7,0.6904602348617428,198,1,57042,0
48,0,2,4,7,0.2520850711648408,232,0,48220,2
49,0,4,1,3,0.8036464311777303,175,0,58523,0
58,1,1,1,5,0.5097913428949129,169,0,42706,2
58,0,4,3,8,0.485516383078644,214,1,55141,0
27,0,0,2,1,0.3658943966195177,169,1,89082,1
36,1,2,1,6,0.5805158403937568,242,0,92977,1
43,0,0,2,4,0.5638066342176654,246,1,85800,1
36,1,3,4,8,0.0847189650483825,207,0,94151,1
41,1,4,2,2,0.1341463548593903,235,0,64691,0
41,0,0,1,4,0.9316622820918884,244,0,82011,1
40,0,0,2,1,0.5059402740573691,223,0,38691,2
28,1,2,1,8,0.4519842360218168,221,0,92597,1
57,0,3,3,4,0.870063019991485,173,1,60435,0
25,0,1,4,8,0.9525851941903404,150,1,78199,1
39,1,1,0,10,0.4750346177525851,176,1,82555,1
43,1,0,4,9,0.3065756109511023,216,1,55788,0
44,1,4,3,1,0.5390797502364367,242,1,56368,0
40,1,4,3,9,0.4727085774326522,216,1,64692,0
48,1,4,1,4,0.1935332244589965,170,1,35293,2
39,0,4,0,6,0.1964440082921865,223,0,75657,0
57,0,1,1,3,0.3837931922654971,204,0,72722,0
39,0,2,0,2,0.6256763224156635,241,0,67201,0
25,1,4,2,3,0.5102146438116488,183,1,97170,1
36,0,3,4,7,0.4805332100693907,161,0,82856,1
35,1,3,1,1,0.6365942338553944,241,0,81235,1
46,0,4,0,3,0.2804827178658748,243,0,82067,1
45,1,3,1,3,0.6147834032190523,194,1,55180,0
53,1,1,1,7,0.3108225462753972,158,1,86198,1
54,1,4,1,8,0.9340612200356794,240,1,56794,0
27,1,0,4,4,0.732572372360327,249,0,48121,2
56,0,3,4,10,0.0645355423712149,229,1,40747,2
38,0,1,0,7,0.1641706192995858,198,0,75386,0
29,1,0,1,6,0.4145641771757704,221,1,91913,1
42,0,3,0,5,0.747357566182855,221,1,31326,2
45,0,2,2,9,0.6345458169290162,173,0,75754,0
38,1,4,0,3,0.8623328959396549,184,0,44713,2
50,1,0,2,9,0.9639110982733896,210,0,64259,0
45,0,3,2,2,0.2128392232458642,220,1,77108,0
50,1,4,2,5,0.4789064020210939,200,1,33619,2
58,0,1,1,3,0.1743702887486541,210,0,42027,2
45,0,3,4,7,0.7412150794792167,222,0,91590,1
43,1,3,1,6,0.7564274269055317,230,1,30957,2
36,1,0,1,3,0.8979082114697393,213,0,37912,2
47,1,3,0,10,0.0186433227361456,167,0,39839,2
52,0,2,2,4,0.5843331932632928,163,0,44302,2
52,0,0,1,10,0.6809157826793361,215,1,99586,1
43,1,0,1,10,0.151175626283633,173,1,93970,1
55,1,4,4,9,0.1220463044265423,214,0,35486,2
52,0,1,1,7,0.5679622715994557,202,1,69506,0
